,Survived
Survived,1.0
Mrs,0.3449349674862872
Miss,0.33279543489730806
Pclass_1,0.28590376778374244
Family_Small,0.27985454703328394
Fare,0.2573065223849626
Cabin_B,0.1750950336504758
Embarked_C,0.1682404312182332
Cabin_D,0.1507156442304827
Cabin_E,0.1453214432364282
Cabin_C,0.11465211543263734
Pclass_2,0.09334857241192883
Master,0.0852205608392942
Parch,0.08162940708348335
Cabin_F,0.05793494702080391
Royalty,0.033390675019698876
Cabin_A,0.022286953811301805
FamilySize,0.016638989282745233
Cabin_G,0.016040182686507528
Embarked_Q,0.003650382683972141
PassengerId,-0.0050066607670665175
Cabin_T,-0.026456468796962302
Officer,-0.031315670437736275
SibSp,-0.035322498885735576
Age,-0.07032267528829972
Family_Large,-0.12514712398530686
Embarked_S,-0.1496827232706854
Family_Single,-0.20336708569989173
Cabin_U,-0.31691152311229615
Pclass_3,-0.32230835737297014
Sex,-0.543351380657755
Mr,-0.5491991849030088
